frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,frame.len,tcp.flags
"118","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"119","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"120","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"121","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"122","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"123","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"124","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"125","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"126","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"127","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"128","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"129","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"130","0.126908000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"131","0.127101000","192.168.1.3","192.168.2.15","6","54","0x0010"
"132","0.127215000","192.168.1.3","192.168.2.15","6","54","0x0010"
"133","0.130882000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"134","0.130882000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"135","0.130882000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"136","0.130882000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"137","0.130882000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"138","0.130882000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"139","0.130882000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"140","0.130882000","192.168.2.15","192.168.1.3","6","1370","0x0018"
"141","0.130954000","192.168.1.3","192.168.2.15","6","54","0x0010"
"142","0.131069000","192.168.2.15","192.168.1.3","6","85","0x0019"
"143","0.131086000","192.168.1.3","192.168.2.15","6","54","0x0010"
"144","0.135372000","192.168.1.3","192.168.2.15","6","54","0x0011"
"145","0.135624000","192.168.2.15","192.168.1.3","6","60","0x0010"
"146","0.145858000","192.168.1.3","192.168.2.15","6","66","0x0002"
"147","0.146147000","192.168.2.15","192.168.1.3","6","66","0x0012"
"148","0.146175000","192.168.1.3","192.168.2.15","6","54","0x0010"
"149","0.146589000","192.168.1.3","192.168.2.15","6","212","0x0018"
"150","0.146812000","192.168.2.15","192.168.1.3","6","60","0x0010"
"151","0.148414000","192.168.2.15","192.168.1.3","6","1499","0x0018"
"152","0.149359000","192.168.1.3","192.168.2.15","6","147","0x0018"
"153","0.149842000","192.168.2.15","192.168.1.3","6","296","0x0018"
"154","0.150704000","192.168.1.3","192.168.2.15","6","383","0x0018"
"155","0.151356000","192.168.2.15","192.168.1.3","6","201","0x0018"
"156","0.151961000","192.168.1.3","192.168.2.15","6","383","0x0018"
"157","0.152458000","192.168.2.15","192.168.1.3","6","201","0x0018"
"158","0.175320000","192.168.1.3","192.168.2.15","6","383","0x0018"
"159","0.176165000","192.168.2.15","192.168.1.3","6","201","0x0018"
"160","0.206752000","192.168.1.3","192.168.2.15","6","383","0x0018"
"161","0.207624000","192.168.2.15","192.168.1.3","6","201","0x0018"
"162","0.252766000","192.168.1.3","192.168.2.15","6","54","0x0010"
"163","0.253720000","192.168.1.3","192.168.2.15","6","383","0x0018"
"164","0.254596000","192.168.2.15","192.168.1.3","6","201","0x0018"
"165","0.299652000","192.168.1.3","192.168.2.15","6","54","0x0010"
"166","0.300726000","192.168.1.3","192.168.2.15","6","383","0x0018"
"167","0.301622000","192.168.2.15","192.168.1.3","6","201","0x0018"
"168","0.346522000","192.168.1.3","192.168.2.15","6","54","0x0010"
"169","0.362713000","192.168.1.3","192.168.2.15","6","383","0x0018"
"170","0.363614000","192.168.2.15","192.168.1.3","6","201","0x0018"
"171","0.408997000","192.168.1.3","192.168.2.15","6","54","0x0010"
"172","0.425538000","192.168.1.3","192.168.2.15","6","383","0x0018"
"173","0.426506000","192.168.2.15","192.168.1.3","6","201","0x0018"
"174","0.471509000","192.168.1.3","192.168.2.15","6","54","0x0010"
"175","0.503371000","192.168.1.3","192.168.2.15","6","383","0x0018"
"176","0.504438000","192.168.2.15","192.168.1.3","6","590","0x0018"
"177","0.505059000","192.168.1.3","192.168.2.15","6","383","0x0018"
"178","0.505604000","192.168.2.15","192.168.1.3","6","201","0x0018"
"179","0.506120000","192.168.1.3","192.168.2.15","6","383","0x0018"
"180","0.506762000","192.168.2.15","192.168.1.3","6","201","0x0018"
"181","0.508349000","192.168.1.3","192.168.2.15","6","405","0x0018"
"182","0.508411000","192.168.1.3","192.168.2.15","6","480","0x0018"
"183","0.508672000","192.168.2.15","192.168.1.3","6","60","0x0010"
"184","0.509299000","192.168.2.15","192.168.1.3","6","201","0x0018"
"185","0.519049000","192.168.1.3","192.168.2.15","6","383","0x0018"
"186","0.520002000","192.168.2.15","192.168.1.3","6","331","0x0018"
"187","0.520870000","192.168.1.3","192.168.2.15","6","383","0x0018"
"188","0.521709000","192.168.2.15","192.168.1.3","6","201","0x0018"
"189","0.522302000","192.168.1.3","192.168.2.15","6","405","0x0018"
"190","0.522367000","192.168.1.3","192.168.2.15","6","227","0x0018"
"191","0.522939000","192.168.2.15","192.168.1.3","6","60","0x0010"
"192","0.523285000","192.168.2.15","192.168.1.3","6","201","0x0018"
"193","0.523760000","192.168.1.3","192.168.2.15","6","383","0x0018"
"194","0.524272000","192.168.2.15","192.168.1.3","6","331","0x0018"
"195","0.524773000","192.168.1.3","192.168.2.15","6","383","0x0018"
"196","0.525308000","192.168.2.15","192.168.1.3","6","201","0x0018"
"197","0.525794000","192.168.1.3","192.168.2.15","6","405","0x0018"
"198","0.525857000","192.168.1.3","192.168.2.15","6","595","0x0018"
"199","0.526111000","192.168.2.15","192.168.1.3","6","60","0x0010"
"200","0.526747000","192.168.2.15","192.168.1.3","6","201","0x0018"
"201","0.527226000","192.168.1.3","192.168.2.15","6","383","0x0018"
"202","0.531223000","192.168.2.15","192.168.1.3","6","201","0x0018"
"203","0.550397000","192.168.1.3","192.168.2.15","6","383","0x0018"
"204","0.551240000","192.168.2.15","192.168.1.3","6","201","0x0018"
"205","0.582113000","192.168.1.3","192.168.2.15","6","383","0x0018"
"206","0.583009000","192.168.2.15","192.168.1.3","6","331","0x0018"
"207","0.583627000","192.168.1.3","192.168.2.15","6","383","0x0018"
"208","0.584263000","192.168.2.15","192.168.1.3","6","201","0x0018"
"209","0.584770000","192.168.1.3","192.168.2.15","6","405","0x0018"
"210","0.584828000","192.168.1.3","192.168.2.15","6","227","0x0018"
"211","0.585337000","192.168.2.15","192.168.1.3","6","60","0x0010"
"212","0.585583000","192.168.2.15","192.168.1.3","6","201","0x0018"
"213","0.586048000","192.168.1.3","192.168.2.15","6","383","0x0018"
"214","0.613922000","192.168.2.15","192.168.1.3","6","201","0x0018"
"215","0.628536000","192.168.1.3","192.168.2.15","6","383","0x0018"
"216","0.629664000","192.168.2.15","192.168.1.3","6","201","0x0018"
"217","0.659581000","192.168.1.3","192.168.2.15","6","383","0x0018"
"218","0.692806000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"219","0.692806000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"220","0.692806000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"221","0.692806000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"222","0.692806000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"223","0.692806000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"224","0.692806000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"225","0.692806000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"226","0.692806000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"227","0.692806000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"228","0.692886000","192.168.1.3","192.168.2.15","6","54","0x0010"
"229","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"230","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"231","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"232","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"233","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"234","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"235","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"236","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"237","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"238","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"239","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"240","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"241","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"242","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"243","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"244","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"245","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"246","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"247","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"248","0.693225000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"249","0.693316000","192.168.1.3","192.168.2.15","6","54","0x0010"
"250","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"251","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"252","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"253","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"254","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"255","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"256","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"257","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"258","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"259","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"260","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"261","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"262","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"263","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"264","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"265","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"266","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"267","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"268","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"269","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"270","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"271","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"272","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"273","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"274","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"275","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"276","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"277","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"278","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"279","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"280","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"281","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"282","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"283","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"284","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"285","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"286","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"287","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"288","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"289","0.693710000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"290","0.693840000","192.168.1.3","192.168.2.15","6","54","0x0010"
"291","0.693933000","192.168.1.3","192.168.2.15","6","54","0x0010"
"292","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"293","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"294","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"295","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"296","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"297","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"298","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"299","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"300","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"301","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"302","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"303","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"304","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"305","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"306","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"307","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"308","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"309","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"310","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"311","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"312","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"313","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"314","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"315","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"316","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"317","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"318","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"319","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"320","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"321","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"322","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"323","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"324","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"325","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"326","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"327","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"328","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"329","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"330","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"331","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"332","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"333","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"334","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"335","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0018"
"336","0.694272000","192.168.2.15","192.168.1.3","6","1514","0x0010"
"337","0.694272000","192.168.2.15","192.168.1.3","6","1252","0x0018"
"338","0.694401000","192.168.1.3","192.168.2.15","6","54","0x0010"
"339","0.694487000","192.168.1.3","192.168.2.15","6","54","0x0010"
"340","0.698747000","192.168.1.3","192.168.2.15","6","54","0x0010"
"341","0.723496000","192.168.1.3","192.168.2.15","6","383","0x0018"
"342","0.724478000","192.168.2.15","192.168.1.3","6","201","0x0018"
"343","0.725092000","192.168.1.3","192.168.2.15","6","406","0x0018"
"344","0.725217000","192.168.1.3","192.168.2.15","6","1571","0x0018"
"345","0.725652000","192.168.2.15","192.168.1.3","6","60","0x0010"
"346","0.726537000","192.168.2.15","192.168.1.3","6","201","0x0018"
"347","0.727691000","192.168.1.3","192.168.2.15","6","383","0x0018"
"348","0.732086000","192.168.2.15","192.168.1.3","6","201","0x0018"
"349","0.753672000","192.168.1.3","192.168.2.15","6","383","0x0018"
"350","0.754606000","192.168.2.15","192.168.1.3","6","315","0x0018"
"351","0.756307000","192.168.1.3","192.168.2.15","6","383","0x0018"
"352","0.757169000","192.168.2.15","192.168.1.3","6","201","0x0018"
"353","0.757674000","192.168.1.3","192.168.2.15","6","405","0x0018"
"354","0.757743000","192.168.1.3","192.168.2.15","6","275","0x0018"
"355","0.758249000","192.168.2.15","192.168.1.3","6","60","0x0010"
"356","0.758503000","192.168.2.15","192.168.1.3","6","201","0x0018"
"357","0.758964000","192.168.1.3","192.168.2.15","6","383","0x0018"
"358","0.759421000","192.168.2.15","192.168.1.3","6","315","0x0018"
"359","0.759955000","192.168.1.3","192.168.2.15","6","383","0x0018"
"360","0.760404000","192.168.2.15","192.168.1.3","6","201","0x0018"
"361","0.760882000","192.168.1.3","192.168.2.15","6","405","0x0018"
"362","0.760955000","192.168.1.3","192.168.2.15","6","259","0x0018"
"363","0.761454000","192.168.2.15","192.168.1.3","6","60","0x0010"
"364","0.761705000","192.168.2.15","192.168.1.3","6","201","0x0018"
"365","0.762157000","192.168.1.3","192.168.2.15","6","383","0x0018"
"366","0.762673000","192.168.2.15","192.168.1.3","6","315","0x0018"
"367","0.763221000","192.168.1.3","192.168.2.15","6","383","0x0018"
"368","0.763833000","192.168.2.15","192.168.1.3","6","201","0x0018"
"369","0.764331000","192.168.1.3","192.168.2.15","6","383","0x0018"
"370","0.764843000","192.168.2.15","192.168.1.3","6","201","0x0018"
"371","0.765395000","192.168.1.3","192.168.2.15","6","405","0x0018"
"372","0.765495000","192.168.1.3","192.168.2.15","6","339","0x0018"
"373","0.765976000","192.168.2.15","192.168.1.3","6","60","0x0010"
"374","0.766302000","192.168.2.15","192.168.1.3","6","201","0x0018"
"375","0.785122000","192.168.1.3","192.168.2.15","6","383","0x0018"
"376","0.786062000","192.168.2.15","192.168.1.3","6","315","0x0018"
"377","0.786685000","192.168.1.3","192.168.2.15","6","383","0x0018"
"378","0.787438000","192.168.2.15","192.168.1.3","6","201","0x0018"
"379","0.787883000","192.168.1.3","192.168.2.15","6","383","0x0018"
"380","0.788515000","192.168.2.15","192.168.1.3","6","201","0x0018"
"381","0.791062000","192.168.1.3","192.168.2.15","6","405","0x0018"
"382","0.791136000","192.168.1.3","192.168.2.15","6","499","0x0018"
"383","0.791650000","192.168.2.15","192.168.1.3","6","60","0x0010"
"384","0.792071000","192.168.2.15","192.168.1.3","6","201","0x0018"
"385","0.800013000","192.168.1.3","192.168.2.15","6","383","0x0018"
"386","0.800566000","192.168.2.15","192.168.1.3","6","315","0x0018"
"387","0.801106000","192.168.1.3","192.168.2.15","6","383","0x0018"
"388","0.801621000","192.168.2.15","192.168.1.3","6","201","0x0018"
"389","0.802109000","192.168.1.3","192.168.2.15","6","406","0x0018"
"390","0.802225000","192.168.1.3","192.168.2.15","6","1155","0x0018"
